from,to,carrier,departure,days_to_departure,price
Moscow,Simferopol,Аэрофлот,2015-05-19,27,4500
Moscow,Simferopol,Аэрофлот,2015-05-19,28,3750
Moscow,Simferopol,Аэрофлот,2015-05-19,33,4382
Moscow,Simferopol,Аэрофлот,2015-05-19,34,3902
Moscow,Simferopol,Аэрофлот,2015-05-19,35,3909
Moscow,Simferopol,Аэрофлот,2015-05-19,36,3902
Moscow,Simferopol,Аэрофлот,2015-05-19,40,3902
Moscow,Simferopol,Аэрофлот,2015-05-19,41,4331
Moscow,Simferopol,Аэрофлот,2015-05-19,42,3909
Moscow,Simferopol,Аэрофлот,2015-05-19,45,3909
Moscow,Simferopol,Аэрофлот,2015-05-19,46,3909
Moscow,Simferopol,Аэрофлот,2015-05-19,49,4640
Moscow,Simferopol,Аэрофлот,2015-05-19,63,4640
Moscow,Simferopol,Аэрофлот,2015-05-19,82,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,0,4143
Moscow,Simferopol,Аэрофлот,2015-05-18,1,3750
Moscow,Simferopol,Аэрофлот,2015-05-18,3,3974
Moscow,Simferopol,Аэрофлот,2015-05-18,4,3888
Moscow,Simferopol,Аэрофлот,2015-05-18,5,3750
Moscow,Simferopol,Аэрофлот,2015-05-18,6,4000
Moscow,Simferopol,Аэрофлот,2015-05-18,7,4500
Moscow,Simferopol,Аэрофлот,2015-05-18,8,4500
Moscow,Simferopol,Аэрофлот,2015-05-18,10,3638
Moscow,Simferopol,Аэрофлот,2015-05-18,11,4393
Moscow,Simferopol,Аэрофлот,2015-05-18,12,3750
Moscow,Simferopol,Аэрофлот,2015-05-18,14,4500
Moscow,Simferopol,Аэрофлот,2015-05-18,18,3750
Moscow,Simferopol,Аэрофлот,2015-05-18,19,3750
Moscow,Simferopol,Аэрофлот,2015-05-18,20,3750
Moscow,Simferopol,Аэрофлот,2015-05-18,21,4500
Moscow,Simferopol,Аэрофлот,2015-05-18,23,4500
Moscow,Simferopol,Аэрофлот,2015-05-18,25,3750
Moscow,Simferopol,Аэрофлот,2015-05-18,29,4022
Moscow,Simferopol,Аэрофлот,2015-05-18,30,3716
Moscow,Simferopol,Аэрофлот,2015-05-18,32,4558
Moscow,Simferopol,Аэрофлот,2015-05-18,34,3757
Moscow,Simferopol,Аэрофлот,2015-05-18,35,3902
Moscow,Simferopol,Аэрофлот,2015-05-18,36,4188
Moscow,Simferopol,Аэрофлот,2015-05-18,37,4238
Moscow,Simferopol,Аэрофлот,2015-05-18,38,3905
Moscow,Simferopol,Аэрофлот,2015-05-18,40,3966
Moscow,Simferopol,Аэрофлот,2015-05-18,42,3909
Moscow,Simferopol,Аэрофлот,2015-05-18,43,3909
Moscow,Simferopol,Аэрофлот,2015-05-18,44,3779
Moscow,Simferopol,Аэрофлот,2015-05-18,45,3807
Moscow,Simferopol,Аэрофлот,2015-05-18,46,4250
Moscow,Simferopol,Аэрофлот,2015-05-18,47,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,50,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,51,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,55,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,57,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,58,5458
Moscow,Simferopol,Аэрофлот,2015-05-18,60,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,61,4311
Moscow,Simferopol,Аэрофлот,2015-05-18,62,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,64,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,65,4311
Moscow,Simferopol,Аэрофлот,2015-05-18,69,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,70,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,74,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,75,5868
Moscow,Simferopol,Аэрофлот,2015-05-18,76,5868
Moscow,Simferopol,Аэрофлот,2015-05-18,77,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,78,5868
Moscow,Simferopol,Аэрофлот,2015-05-18,79,5868
Moscow,Simferopol,Аэрофлот,2015-05-18,80,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,81,4640
Moscow,Simferopol,Аэрофлот,2015-05-18,83,4770
